#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0070250594900381e+00  6.8820303683956629e-03 -3.9570321647592047e-05  1.0272372853520735e+00  1.0200712243171695e+00  0.0000000000000000e+00
 1.0021835529867227e+00  8.1429386478697782e-02  1.1533724839378553e-02  1.0213857974472598e+00  1.0191604066972668e+00  0.0000000000000000e+00
 1.0028574153515792e+00  1.5820328023645361e-01  2.2181165737133912e-02  1.0194167551131259e+00  1.0165121576687366e+00  0.0000000000000000e+00
 1.0021839575199076e+00  2.1084366112649761e-01  2.9354674936499375e-02  1.0159225370218603e+00  1.0137086404136340e+00  0.0000000000000000e+00
 1.0022836305106684e+00  2.4459972684872863e-01  3.3783639342934067e-02  1.0137989497126036e+00  1.0114890823828664e+00  0.0000000000000000e+00
 1.0020440512326696e+00  2.6826360405588384e-01  3.6715436888756253e-02  1.0118043283340710e+00  1.0097403672916325e+00  0.0000000000000000e+00
 1.0017931009237115e+00  2.8676007049063956e-01  3.8842133230634221e-02  1.0100700224205277e+00  1.0082621067056508e+00  0.0000000000000000e+00
 1.0014566914365068e+00  3.0212617056627433e-01  4.0445830166019957e-02  1.0084275204884796e+00  1.0069606894752221e+00  0.0000000000000000e+00
 1.0010538996868825e+00  3.1510277672443082e-01  4.1627762700948964e-02  1.0068698126952937e+00  1.0058097900724732e+00  0.0000000000000000e+00
 1.0005686815874095e+00  3.2625031800364079e-01  4.2462773535989637e-02  1.0053561703837908e+00  1.0047847677870410e+00  0.0000000000000000e+00
 1.0000123918776631e+00  3.3595701070861467e-01  4.3001548483095453e-02  1.0038771831988063e+00  1.0038647434297157e+00  0.0000000000000000e+00
 9.9939143823234700e-01  3.4457384813795056e-01  4.3288660206451911e-02  1.0024175368282910e+00  1.0030279412852452e+00  0.0000000000000000e+00
 9.9871379651127068e-01  3.5232735914214419e-01  4.3351655060779856e-02  1.0009691358928048e+00  1.0022582439427719e+00  0.0000000000000000e+00
 9.9798476861419949e-01  3.5941961007930406e-01  4.3213903731091803e-02  9.9952334244006602e-01  1.0015416806691380e+00  0.0000000000000000e+00
