#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0070250594900381e+00  6.9303770411458911e-03 -3.9848305511206321e-05  2.5681170617012201e+00
 1.0021835529867227e+00  8.1607191858750344e-02  1.1558909338699616e-02  2.5568537640406817e+00
 1.0028574153515792e+00  1.5865533271807145e-01  2.2244546540627123e-02  2.5613384898011007e+00
 1.0021839575199076e+00  2.1130413472573967e-01  2.9418784299571388e-02  2.5625142006680925e+00
 1.0022836305106684e+00  2.4515830224786153e-01  3.3860788692499005e-02  2.5650521715002994e+00
 1.0020440512326696e+00  2.6881194860643465e-01  3.6790485122786716e-02  2.5662424412757177e+00
 1.0017931009237115e+00  2.8727426023791991e-01  3.8911781095608999e-02  2.5671201579020844e+00
 1.0014566914365068e+00  3.0256627517168283e-01  4.0504747260465206e-02  2.5675945203155677e+00
 1.0010538996868825e+00  3.1543486344215649e-01  4.1671634187025117e-02  2.5677390808610419e+00
 1.0005686815874095e+00  3.2643585055237595e-01  4.2486921333449897e-02  2.5675423822441403e+00
 1.0000123918776631e+00  3.3596117384679142e-01  4.3002081353023580e-02  2.5670517918799667e+00
 9.9939143823234700e-01  3.4436415366784073e-01  4.3262316382877343e-02  2.5663096667225971e+00
 9.9871379651127068e-01  3.5187419446364077e-01  4.3295896010798494e-02  2.5653487669495383e+00
 9.9798476861419949e-01  3.5869529640040004e-01  4.3126817715989946e-02  2.5642012569594250e+00
 9.9720827412088120e-01  3.6495612073082179e-01  4.2768440578075280e-02  2.5628841786891661e+00
 9.9638589434303759e-01  3.7078565063610291e-01  4.2232155099244183e-02  2.5614153009701783e+00
 9.9551822813550761e-01  3.7626311582252386e-01  4.1520471564858039e-02  2.5598003009847017e+00
 9.9460421298219981e-01  3.8148675270088411e-01  4.0633678179835833e-02  2.5580492001129449e+00
 9.9364113246331542e-01  3.8650336288336956e-01  3.9560487079169489e-02  2.5561556556090945e+00
 9.9262589735069950e-01  3.9139665981673993e-01  3.8286180124931589e-02  2.5541256084410895e+00
 9.9155476478723048e-01  3.9617996648236936e-01  3.6780398032787376e-02  2.5519433093391113e+00
 9.9042459118382176e-01  4.0093037885974103e-01  3.5010115962298000e-02  2.5496172140638547e+00
 9.8923455137464122e-01  4.0563079873206209e-01  3.2925201597314983e-02  2.5471337874818452e+00
 9.8798583849311916e-01  4.1033973185397288e-01  3.0475543829453514e-02  2.5445125011776959e+00
 9.8668371815659484e-01  4.1500796572746906e-01  2.7598501785320060e-02  2.5417513271379808e+00
 9.8533614251311952e-01  4.1967334125041006e-01  2.4237955754694940e-02  2.5388871388562326e+00
 9.8395592576619095e-01  4.2424151191565934e-01  2.0333309927988791e-02  2.5359280052034019e+00
 9.8255844203992782e-01  4.2873279774473144e-01  1.5839004570067899e-02  2.5329321527261928e+00
 9.8116324496429308e-01  4.3301099862555958e-01  1.0713590525471429e-02  2.5299135950033556e+00
 9.7978976527271822e-01  4.3708603433649573e-01  4.9345936868352026e-03  2.5269439487421823e+00
 9.7846156690364405e-01  4.4082302877221563e-01 -1.5113352106848868e-03  2.5240490466500090e+00
 9.7719574384760488e-01  4.4420325305703801e-01 -8.6240000917328485e-03  2.5212865435492438e+00
 9.7601385322989942e-01  4.4715319750931531e-01 -1.6396703678400314e-02  2.5186979492519397e+00
 9.7492771927504640e-01  4.4964085285086997e-01 -2.4820243238520560e-02  2.5163215868240454e+00
 9.7395100604272444e-01  4.5157536488024796e-01 -3.3884744956922112e-02  2.5141704684552808e+00
 9.7309206128153058e-01  4.5295161530542105e-01 -4.3590814485913058e-02  2.5122818164943586e+00
 9.7235957462231237e-01  4.5365355601462598e-01 -5.3940363942702720e-02  2.5106512173351638e+00
 9.7176087759909846e-01  4.5367548469632224e-01 -6.4957496956238828e-02  2.5093141211984715e+00
 9.7130601149693807e-01  4.5290345621015166e-01 -7.6668746948900648e-02  2.5082807774318567e+00
 9.7100959124741892e-01  4.5126227119705159e-01 -8.9118565036682307e-02  2.5075892545589493e+00
 9.7089143119837196e-01  4.4864136492976803e-01 -1.0236049773711449e-01  2.5072937416175591e+00
 9.7097712170458317e-01  4.4483912771212836e-01 -1.1643670696349892e-01  2.5074340924407279e+00
 9.7130825815771182e-01  4.3967812065993150e-01 -1.3139748977179905e-01  2.5081194511129299e+00
 9.7193223137468621e-01  4.3283122952112740e-01 -1.4724220667466512e-01  2.5094324629576308e+00
 9.7291752449176494e-01  4.2402725563393756e-01 -1.6396104205533249e-01  2.5115538018676253e+00
 9.7434053392134479e-01  4.1277313820101086e-01 -1.8141034928019395e-01  2.5146146327785290e+00
 9.7630225248703040e-01  3.9868476064820829e-01 -1.9939217753190336e-01  2.5188745162606869e+00
 9.7890335538392415e-01  3.8119471610253686e-01 -2.1746575672374233e-01  2.5245216880876784e+00
 9.8224846503191243e-01  3.5988445481173281e-01 -2.3502476997781097e-01  2.5318073486028330e+00
 9.8641847109657199e-01  3.3437639855378676e-01 -2.5114526228630218e-01  2.5408865890107823e+00
 9.9143619596819854e-01  3.0464519342378288e-01 -2.6467483042550782e-01  2.5518158205920400e+00
 9.9723698341912326e-01  2.7107105336023740e-01 -2.7427299888096740e-01  2.5644367082481057e+00
 1.0036438011679294e+00  2.3463751125926779e-01 -2.7866801350447618e-01  2.5783581384460397e+00
 1.0103683839022031e+00  1.9688514754324954e-01 -2.7691685776797625e-01  2.5929352403068706e+00
 1.0170649982719739e+00  1.5976165542810042e-01 -2.6878235962578551e-01  2.6074190234768739e+00
 1.0233827696961770e+00  1.2519296939144064e-01 -2.5482157576570724e-01  2.6210471313839081e+00
 1.0290412473485602e+00  9.4693394006313034e-02 -2.3628216333505067e-01  2.6332186846573409e+00
 1.0338851391429544e+00  6.9113901183306847e-02 -2.1479531670170374e-01  2.6436094797643404e+00
 1.0378778012774275e+00  4.8624205216959052e-02 -1.9202773849586646e-01  2.6521563626464673e+00
 1.0410700107196973e+00  3.2855138576777222e-02 -1.6936679684031317e-01  2.6589793806800484e+00
 1.0435624883731554e+00  2.1135515534224689e-02 -1.4781094341687351e-01  2.6643025248424776e+00
 1.0454732670843405e+00  1.2690614304760926e-02 -1.2795507284456212e-01  2.6683816434047731e+00
 1.0469193330382989e+00  6.7804430323629653e-03 -1.1007380136506921e-01  2.6714690226171851e+00
 1.0479501685260346e+00  2.7670359378030918e-03 -9.4165358188368978e-02  2.6736475722756814e+00
 1.0487253783069164e+00 -9.8130157924685892e-06 -7.9667515472874831e-02  2.6752793384264737e+00
 1.0494664289985847e+00 -1.9291498565744739e-03 -6.5133892007040409e-02  2.6768830404660799e+00
 1.0501029261260477e+00 -3.0314708012488477e-03 -4.9032476836455001e-02  2.6782572389386252e+00
 1.0505959416997521e+00 -3.0364928118694445e-03 -3.0533714699044551e-02  2.6793152052587192e+00
 1.0508791445590639e+00 -1.3361816454449376e-03 -9.3021304634349142e-03  2.6799220648638151e+00
 1.0508421283397613e+00  2.8430194728342960e-03  1.4679085166747333e-02  2.6798468228543979e+00
 1.0503399353755911e+00  1.0407937191507944e-02  4.1116774512520472e-02  2.6787808255920713e+00
 1.0492075199175701e+00  2.2292317569486193e-02  6.9289108589519449e-02  2.6763704250278115e+00
 1.0472845623796945e+00  3.9282767453819506e-02  9.8024575075727177e-02  2.6722667174443080e+00
 1.0444511910886387e+00  6.1750147131898164e-02  1.2569116303734862e-01  2.6662025273417278e+00
 1.0406776280587573e+00  8.9437050076803845e-02  1.5047048555313611e-01  2.6581029542426213e+00
 1.0360548995374053e+00  1.2132250057724607e-01  1.7064011469124313e-01  2.6481516517938859e+00
 1.0307992942111908e+00  1.5581312001287301e-01  1.8505287272447971e-01  2.6368151309436341e+00
 1.0252094505435079e+00  1.9100075940811140e-01  1.9325750805298481e-01  2.6247316052767626e+00
 1.0195935107332199e+00  2.2514797004485645e-01  1.9560829045272560e-01  2.6125823947311839e+00
 1.0142045048753638e+00  2.5685767543399107e-01  1.9292237043669100e-01  2.6008982179776905e+00
 1.0092199528189492e+00  2.8537089493267270e-01  1.8636341877949428e-01  2.5900877124208130e+00
 1.0047433934382488e+00  3.1030343002125299e-01  1.7702351036419139e-01  2.5803516851998278e+00
