#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0163775260069965e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0170137118887037e+00  1.0006259346211706e+00  2.9594635194844770e-08
 1.0159575831014322e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0150840504125866e+00  9.9914018783522562e-01  2.9560836244725791e-08
 1.0153569761532750e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0145104266909457e+00  9.9916625434973994e-01  2.9561429437253145e-08
 1.0136069342052749e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0130230267239002e+00  9.9942393105091332e-01  2.9567292949769927e-08
 1.0122663761728348e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0118458059896034e+00  9.9958452617499627e-01  2.9570946969055885e-08
 1.0109425259130485e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0105978377089755e+00  9.9965904272969297e-01  2.9572642346461203e-08
 1.0096467270123390e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0093379694700868e+00  9.9969419249922642e-01  2.9573442041704363e-08
 1.0083372726177864e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0080489531032129e+00  9.9971406440840505e-01  2.9573894143058875e-08
 1.0070146287860697e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0067413966380059e+00  9.9972867112328545e-01  2.9574226454368491e-08
 1.0056736977456535e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0054129411970574e+00  9.9974071455862812e-01  2.9574500447791582e-08
 1.0043172104499405e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0040672360990124e+00  9.9975110020188152e-01  2.9574736724429498e-08
 1.0029468120950984e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0027063272985950e+00  9.9976022178484136e-01  2.9574944242314405e-08
 1.0015647719929319e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0013328059235587e+00  9.9976839633755143e-01  2.9575130214283808e-08
