#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0070400242303494e+00  6.9604421083753571e-03 -8.6291251233288257e-06  2.5681164039403832e+00
 1.0022261579405249e+00  8.0953097423812431e-02  1.1465709199763847e-02  2.5568806698009610e+00
 1.0029092743896426e+00  1.5774021587952466e-01  2.2116335911727399e-02  2.5613393542542742e+00
 1.0022560780416212e+00  2.1036975233559715e-01  2.9288746687528049e-02  2.5625372743854284e+00
 1.0023805461637014e+00  2.4425902422622850e-01  3.3736589638406485e-02  2.5651198998966422e+00
 1.0021653365864018e+00  2.6791506937418330e-01  3.6667751203509749e-02  2.5663582126222075e+00
 1.0019381912552086e+00  2.8634225812137498e-01  3.8785548515079600e-02  2.5672811050486666e+00
 1.0016258910878657e+00  3.0158941681921891e-01  4.0373983910698269e-02  2.5678036943694753e+00
 1.0012477965978710e+00  3.1439367511097394e-01  4.1534087791512110e-02  2.5679967326609106e+00
 1.0007885999013739e+00  3.2532508207500466e-01  4.2342354824296123e-02  2.5678532045435665e+00
 1.0002597790982664e+00  3.3476578664042289e-01  4.2849078691897496e-02  2.5674179106405384e+00
 9.9966800849369764e-01  3.4307623072285665e-01  4.3100520090221035e-02  2.5667359659564482e+00
 9.9902213130711404e-01  3.5048507211634089e-01  4.3124974162640509e-02  2.5658405753116371e+00
 9.9832717158112083e-01  3.5719562772780117e-01  4.2946510774072591e-02  2.5647644668299145e+00
 9.9758820384331404e-01  3.6333879780732581e-01  4.2578910996827118e-02  2.5635262964116121e+00
 9.9680655262366880e-01  3.6904169724167191e-01  4.2033522219716811e-02  2.5621443095757757e+00
 9.9598383299040716e-01  3.7438380728462933e-01  4.1313092309562427e-02  2.5606252452253346e+00
 9.9511890042207052e-01  3.7946193165527281e-01  4.0418007886958152e-02  2.5589801339295462e+00
 9.9420986813785706e-01  3.8432039817525543e-01  3.9337052109852944e-02  2.5572029402941827e+00
 9.9325398672255250e-01  3.8904624062286403e-01  3.8056265360710759e-02  2.5553028601563970e+00
 9.9224847041590891e-01  3.9364529925342390e-01  3.6545086838197516e-02  2.5532628510779580e+00
 9.9119078094329582e-01  3.9820336612910062e-01  3.4771987082619749e-02  2.5510974578446310e+00
 9.9008097798804129e-01  4.0268891385735561e-01  3.2686409493806363e-02  2.5487891729681067e+00
 9.8892116039661493e-01  4.0717548824187644e-01  3.0240538626602156e-02  2.5463666688519098e+00
 9.8771742508019467e-01  4.1159377919114332e-01  2.7371457870257652e-02  2.5438215435712159e+00
 9.8647884394232288e-01  4.1600308029671090e-01  2.4025981160937866e-02  2.5412031904722889e+00
 9.8521872527830689e-01  4.2027863311379882e-01  2.0143380249953879e-02  2.5385086746822592e+00
 9.8395395910264905e-01  4.2447398170846840e-01  1.5681664873417166e-02  2.5358144905598357e+00
 9.8270438371550040e-01  4.2841024445914427e-01  1.0599764251946954e-02  2.5331177461695282e+00
 9.8149083433079087e-01  4.3213893219905347e-01  4.8787337873646142e-03  2.5305125059397171e+00
 9.8033715717967629e-01  4.3547556390827297e-01 -1.4929916921923741e-03  2.5280034154119488e+00
 9.7926140846352416e-01  4.3843839371103355e-01 -8.5120888184770562e-03  2.5256695190419016e+00
 9.7828621116778991e-01  4.4092311021896929e-01 -1.6168239245528217e-02  2.5235385630588798e+00
 9.7742408717942764e-01  4.4292401423984651e-01 -2.4449488261185641e-02  2.5216664949517793e+00
 9.7668982885086542e-01  4.4431582476334602e-01 -3.3339994652739430e-02  2.5200516314939692e+00
 9.7609310763539536e-01  4.4512671828443562e-01 -4.2837787246195601e-02  2.5187523120145676e+00
 9.7564313065452535e-01  4.4519520905431959e-01 -5.2934631360888044e-02  2.5177453441632274e+00
 9.7534986917133826e-01  4.4455485627429303e-01 -6.3651629770592771e-02  2.5170913028879207e+00
 9.7522290990092164e-01  4.4304341564573119e-01 -7.4999590023759471e-02  2.5167796963089568e+00
 9.7528023706687383e-01  4.4061525809968494e-01 -8.7015947483365219e-02  2.5168698501788103e+00
 9.7554072095367284e-01  4.3714116037800499e-01 -9.9736630086853031e-02  2.5174071831027605e+00
 9.7603250560484112e-01  4.3243086254883001e-01 -1.1318887647477752e-01  2.5184413829823957e+00
 9.7679416836854183e-01  4.2629618814156306e-01 -1.2739829217714785e-01  2.5200724288028167e+00
 9.7787331205393258e-01  4.1840936376977128e-01 -1.4233615599032709e-01  2.5223793976325330e+00
 9.7933213203287528e-01  4.0852122224227111e-01 -1.5796523143189720e-01  2.5255361211111951e+00
 9.8124089135394243e-01  3.9612996921286014e-01 -1.7409586193425833e-01  2.5296479685721889e+00
 9.8368658048541802e-01  3.8091840519787501e-01 -1.9050678839732474e-01  2.5349619477595589e+00
 9.8675148960963777e-01  3.6231420349572252e-01 -2.0669477157973970e-01  2.5416047542734423e+00
