#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0070205513262012e+00  6.8763219570056001e-03 -4.6506014410691775e-05  1.0272377494777107e+00  1.0200762517953428e+00  0.0000000000000000e+00
 1.0021722900159442e+00  8.1522117435506414e-02  1.1546981926824849e-02  1.0213798794108333e+00  1.0191659553813683e+00  0.0000000000000000e+00
 1.0028432055957155e+00  1.5833108245464389e-01  2.2199094322986314e-02  1.0194059875003207e+00  1.0165158240213301e+00  0.0000000000000000e+00
 1.0021641911555381e+00  2.1096746163457095e-01  2.9371909259669704e-02  1.0159057707957244e+00  1.0137119044578333e+00  0.0000000000000000e+00
 1.0022581953529039e+00  2.4471558626977793e-01  3.3799634347772951e-02  1.0137766988614672e+00  1.0114925510831145e+00  0.0000000000000000e+00
 1.0020131815505589e+00  2.6838069364333456e-01  3.6731468841640906e-02  1.0117765205653515e+00  1.0097437231311512e+00  0.0000000000000000e+00
 1.0017570232509296e+00  2.8688534993463349e-01  3.8859102255854344e-02  1.0100363045656171e+00  1.0082647599393109e+00  0.0000000000000000e+00
 1.0014154776857580e+00  3.0226491433799402e-01  4.0464407236355200e-02  1.0083875706401384e+00  1.0069622380617611e+00  0.0000000000000000e+00
 1.0010075108640999e+00  3.1525732922288707e-01  4.1648180158128704e-02  1.0068231716759266e+00  1.0058098073677857e+00  0.0000000000000000e+00
 1.0005169004857204e+00  3.2642466597270647e-01  4.2485466090517843e-02  1.0053023507632732e+00  1.0047829779539255e+00  0.0000000000000000e+00
 9.9995498099773505e-01  3.3615298225025103e-01  4.3026633906863010e-02  1.0038155904842567e+00  1.0038607832951336e+00  0.0000000000000000e+00
 9.9932805549482473e-01  3.4479537265193061e-01  4.3316490173682685e-02  1.0023475429769786e+00  1.0030215177744199e+00  0.0000000000000000e+00
 9.9864401951254012e-01  3.5257523403233404e-01  4.3382156568782235e-02  1.0008900022033711e+00  1.0022490323347930e+00  0.0000000000000000e+00
 9.9790809272164749e-01  3.5969789665199775e-01  4.3247361057990936e-02  9.9943426717279371e-01  1.0015293737592448e+00  0.0000000000000000e+00
 9.9712411228611619e-01  3.6628698031455775e-01  4.2924404578438241e-02  9.9797373870826889e-01  1.0008520768996398e+00  0.0000000000000000e+00
 9.9629355473639869e-01  3.7247441217782479e-01  4.2424501015333800e-02  9.9650022944498640e-01  1.0002074435868880e+00  0.0000000000000000e+00
 9.9541696297853843e-01  3.7833610391085504e-01  4.1749228719084645e-02  9.9500684125070205e-01  9.9958799001515009e-01  0.0000000000000000e+00
 9.9449319094170419e-01  3.8397517028279199e-01  4.0898724876811489e-02  9.9348447039758614e-01  9.9898569386567382e-01  0.0000000000000000e+00
 9.9351928366612441e-01  3.8943650446008277e-01  3.9860714234599859e-02  9.9192468307776793e-01  9.9839499784798136e-01  0.0000000000000000e+00
 9.9249202214857968e-01  3.9480990008101791e-01  3.8620055673991675e-02  9.9031750649717898e-01  9.9780903462912174e-01  0.0000000000000000e+00
 9.9140770448794413e-01  4.0010655318931382e-01  3.7144940497816942e-02  9.8865507477354397e-01  9.9722351389651376e-01  0.0000000000000000e+00
 9.9026278281184410e-01  4.0541082262073269e-01  3.5401349010041987e-02  9.8692842846510576e-01  9.9663285907073040e-01  0.0000000000000000e+00
 9.8905662034622810e-01  4.1070271276227760e-01  3.3336902638406843e-02  9.8513498916706133e-01  9.9603497808063435e-01  0.0000000000000000e+00
 9.8778985228169236e-01  4.1604567774068363e-01  3.0899307396480707e-02  9.8327241457744607e-01  9.9542672189452919e-01  0.0000000000000000e+00
 9.8646798649274181e-01  4.2138621691059541e-01  2.8022678201855944e-02  9.8134771769354645e-01  9.9480949319257728e-01  0.0000000000000000e+00
 9.8509828852098191e-01  4.2676253549594867e-01  2.4647367976041966e-02  9.7936810652017847e-01  9.9418313678180648e-01  0.0000000000000000e+00
 9.8369392997207661e-01  4.3207412664628031e-01  2.0708741471978927e-02  9.7735201244357561e-01  9.9355295652919118e-01  0.0000000000000000e+00
 9.8226939027474425e-01  4.3733483319802102e-01  1.6156771094579653e-02  9.7531727820600544e-01  9.9292239772757862e-01  0.0000000000000000e+00
 9.8084499397644465e-01  4.4239991861363642e-01  1.0945923768095868e-02  9.7329186198765505e-01  9.9229936224869930e-01  0.0000000000000000e+00
 9.7943896233463912e-01  4.4726760437039687e-01  5.0495047080636787e-03  9.7129988604836648e-01  9.9169006278158300e-01  0.0000000000000000e+00
 9.7807577903255605e-01  4.5179201158358068e-01 -1.5488978844574060e-03  9.6937390474705309e-01  9.9110306739820297e-01  0.0000000000000000e+00
 9.7677138502178429e-01  4.5594304033330479e-01 -8.8519650468029485e-03  9.6753660284510290e-01  9.9054560532966962e-01  0.0000000000000000e+00
 9.7554788459676234e-01  4.5963232165518014e-01 -1.6854255603768110e-02  9.6581555547873998e-01  9.9002372997605848e-01  0.0000000000000000e+00
