#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0163859597369886e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0170225722124988e+00  1.0006263491436611e+00  2.9594644621322543e-08
 1.0159761739623321e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0151039684680261e+00  9.9914150989298878e-01  2.9560866330816148e-08
 1.0153816095042183e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0145365895855138e+00  9.9916778094974867e-01  2.9561464177672028e-08
 1.0136261564317606e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0130438694764436e+00  9.9942554071674061e-01  2.9567329575898268e-08
 1.0122868942942378e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0118680858405862e+00  9.9958627494239827e-01  2.9570986757171000e-08
 1.0109658416986445e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0106230258900697e+00  9.9966090267896845e-01  2.9572684662660160e-08
 1.0096760289698890e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0093691527379285e+00  9.9969606465524063e-01  2.9573484634893097e-08
 1.0083748964973536e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0080884325852626e+00  9.9971591526813497e-01  2.9573936251331368e-08
 1.0070629974767547e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0067916012115574e+00  9.9973050716203749e-01  2.9574268225157143e-08
 1.0057349910480045e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0054760411731647e+00  9.9974252673204733e-01  2.9574541675390675e-08
 1.0043935922494771e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0041453848614172e+00  9.9975287836364646e-01  2.9574777178046994e-08
 1.0030403301121489e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0028015665435182e+00  9.9976196015108998e-01  2.9574983790398905e-08
 1.0016774257670047e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0014471340841773e+00  9.9977009396747574e-01  2.9575168835457708e-08
 1.0003058862246730e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0000832961060202e+00  9.9977747794777794e-01  2.9575336821043306e-08
 9.9892596691100977e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9871045562862681e-01  9.9978425700249929e-01  2.9575491044037557e-08
 9.9753500816272433e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9732601856605241e-01  9.9979049397268116e-01  2.9575632934199061e-08
 9.9612970410578350e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9592677993253487e-01  9.9979628739870718e-01  2.9575764733409814e-08
 9.9470417456862259e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9450691110583689e-01  9.9980168630249189e-01  2.9575887556988875e-08
 9.9325176447202534e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9305983227449479e-01  9.9980676379907329e-01  2.9576003068347751e-08
 9.9176487416868797e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9157801324090611e-01  9.9981158747133669e-01  2.9576112805023341e-08
 9.9023689247133839e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9005495908345775e-01  9.9981627286433827e-01  2.9576219395652613e-08
 9.8866133618458318e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8848421484686277e-01  9.9982084731015808e-01  2.9576323462047754e-08
 9.8703659491925777e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8686429309210133e-01  9.9982543521887324e-01  2.9576427834484429e-08
