#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0163601271441636e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5424886963663140e+00
 1.0159198080004559e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5376119709978040e+00
 1.0153083635828895e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5361486989393871e+00
 1.0135682514596487e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5324536984071222e+00
 1.0122273816427456e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5295095263302585e+00
 1.0108997094540124e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5263793432151345e+00
 1.0095938295085114e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5232039102595740e+00
 1.0082695639071011e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5199439988688832e+00
 1.0069269930787370e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5166250497882681e+00
 1.0055616205768554e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5132427423864070e+00
 1.0041761060312799e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5098059628533966e+00
 1.0027723863722811e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5063205155672375e+00
 1.0013528243199237e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5027930568302534e+00
 9.9991860351058481e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4992270254383362e+00
 9.9847002506706428e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4956235419447599e+00
 9.9700428492061877e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4919757456614953e+00
 9.9551780866849160e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4882749599183547e+00
 9.9400421621789392e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4845053658277414e+00
 9.9245618528583823e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4806488564923126e+00
 9.9086527016444470e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4766845063034100e+00
 9.8922387055958994e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4725936048394797e+00
 9.8752430033340022e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4683569928120885e+00
 9.8576372532384826e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4639678937166987e+00
 9.8394067867152790e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4594225841043240e+00
 9.8206130314583817e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4547367024809308e+00
 9.8013372529317166e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4499305036228836e+00
 9.7817484956551337e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4450469191479414e+00
 9.7620350029355418e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4401334997152757e+00
 9.7424598258850237e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4352562871116250e+00
 9.7232784652017723e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4304793870893042e+00
 9.7047952375489011e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4258793410588479e+00
 9.6872554675461320e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4215184978159572e+00
 9.6709136633712822e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4174609614853968e+00
 9.6559697222306906e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4137564167283685e+00
 9.6425950931955673e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4104463815062558e+00
 9.6309246663715964e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4075636374763549e+00
 9.6210846403113293e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4051392491082737e+00
 9.6131724214413328e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4031976389259890e+00
 9.6073357535295023e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4017757154341566e+00
 9.6037720387804770e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4009227491265555e+00
 9.6027431817999997e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4007040483490143e+00
 9.6046292582834036e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4012140206217070e+00
 9.6099603364660025e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4025839490045189e+00
 9.6194274711576655e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4049850245977895e+00
 9.6338971393421768e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4086337996898193e+00
 9.6544169712452055e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4137981015029926e+00
 9.6822717303779726e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4208049888899885e+00
 9.7189387787690451e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4300135748651353e+00
 9.7659329008160456e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4417744222977662e+00
 9.8244828780974636e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4563610986576609e+00
 9.8949931089304466e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4738430564376723e+00
 9.9766837670594510e-01  0.0000000000000000e+00  0.0000000000000000e+00  2.4940005042979378e+00
 1.0067130580171462e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5162304881595570e+00
 1.0162158932591432e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5395521508702128e+00
 1.0256598587009229e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5627795176448833e+00
 1.0345647596855299e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.5847279758591815e+00
 1.0425471608320465e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6044322432270590e+00
 1.0493879443960270e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6213315069088914e+00
 1.0550251538020126e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6352678309162649e+00
 1.0595148159844583e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6463959340435328e+00
 1.0629853983575868e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6550663857230568e+00
 1.0655793931334483e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6616666599875121e+00
 1.0674830188973281e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6666833056804435e+00
 1.0686826327739714e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6700061715250003e+00
 1.0697718189073078e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6730084231230022e+00
 1.0708278131828539e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6755372104948258e+00
 1.0718091950089683e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6775206601223691e+00
 1.0726828965996382e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6792151690511887e+00
 1.0731554899645557e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6800640863444336e+00
 1.0730928006408817e+00  0.0000000000000000e+00  0.0000000000000000e+00  2.6797685526163519e+00
