#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0076579355957027e+00  5.3302413183037326e-03 -1.1519129932532565e-03  1.0270128629524231e+00  1.0192078349934082e+00  0.0000000000000000e+00
 1.0035003126759154e+00  6.1806315848051421e-02  8.8004207233820762e-03  1.0215844750750407e+00  1.0180210829739580e+00  0.0000000000000000e+00
 1.0035934106791102e+00  1.2868234192777980e-01  1.8043184576569452e-02  1.0194963319173824e+00  1.0158459801240736e+00  0.0000000000000000e+00
 1.0023479217581117e+00  1.7816664116391021e-01  2.4805463982009383e-02  1.0158868234443572e+00  1.0135071878659645e+00  0.0000000000000000e+00
 1.0019243022986857e+00  2.1205647962276675e-01  2.9288611658523402e-02  1.0135110626815771e+00  1.0115645067759196e+00  0.0000000000000000e+00
 1.0012830062053129e+00  2.3606767377951171e-01  3.2308964598407063e-02  1.0112682742787860e+00  1.0099724733283106e+00  0.0000000000000000e+00
 1.0006913988616464e+00  2.5531073267237464e-01  3.4582240951036805e-02  1.0092723684351446e+00  1.0085750408000507e+00  0.0000000000000000e+00
 1.0000499843478177e+00  2.7151098976103649e-01  3.6347383266212785e-02  1.0073626504121385e+00  1.0073123005637463e+00  0.0000000000000000e+00
 9.9936931493604719e-01  2.8564115038096072e-01  3.7735543990769435e-02  1.0055207270779418e+00  1.0061552941940073e+00  0.0000000000000000e+00
 9.9860998479047436e-01  2.9771525683451056e-01  3.8748783569504799e-02  1.0037034890560712e+00  1.0051005941690696e+00  0.0000000000000000e+00
 9.9777641741095657e-01  3.0826384666531559e-01  3.9456863862112779e-02  1.0018992733568544e+00  1.0041320438867418e+00  0.0000000000000000e+00
 9.9686644712942529e-01  3.1762060097148753e-01  3.9902528631568152e-02  1.0000894201233865e+00  1.0032331040965843e+00  0.0000000000000000e+00
 9.9587872680985812e-01  3.2614116936817350e-01  4.0129586449787653e-02  9.9826058327247980e-01  1.0023917133667990e+00  0.0000000000000000e+00
 9.9481585286558649e-01  3.3391404228654759e-01  4.0147308184243370e-02  9.9640110487723621e-01  1.0015935130175939e+00  0.0000000000000000e+00
 9.9367366116927547e-01  3.4115152023186546e-01  3.9978838148873035e-02  9.9450088560437300e-01  1.0008324910555890e+00  0.0000000000000000e+00
 9.9245556702724635e-01  3.4800025124340367e-01  3.9636951513035874e-02  9.9254741442670291e-01  1.0000925456035596e+00  0.0000000000000000e+00
 9.9115107366401056e-01  3.5452463929722816e-01  3.9121590890028500e-02  9.9052765736938264e-01  9.9937101788900551e-01  0.0000000000000000e+00
 9.8975206186252895e-01  3.6056657253771707e-01  3.8405359880201488e-02  9.8842821333572795e-01  9.9866244428497630e-01  0.0000000000000000e+00
 9.8824701554436867e-01  3.6627828279556052e-01  3.7490330533547285e-02  9.8623308179076519e-01  9.9796211501585574e-01  0.0000000000000000e+00
 9.8662867731710313e-01  3.7157938197630203e-01  3.6347670256134029e-02  9.8392733831992485e-01  9.9726205100329768e-01  0.0000000000000000e+00
 9.8488665514217877e-01  3.7695233968213449e-01  3.4995332838999367e-02  9.8149237399938005e-01  9.9655363271999209e-01  0.0000000000000000e+00
 9.8299700167720616e-01  3.8186936695416862e-01  3.3345683921998326e-02  9.7891218306461625e-01  9.9584452586770866e-01  0.0000000000000000e+00
 9.8096676952640738e-01  3.8707446565027975e-01  3.1419019883774491e-02  9.7617239420254276e-01  9.9511260169783422e-01  0.0000000000000000e+00
 9.7877205837156112e-01  3.9198239189572143e-01  2.9112277095426155e-02  9.7326091435855877e-01  9.9436932841935499e-01  0.0000000000000000e+00
 9.7644048452497600e-01  3.9740675179477475e-01  2.6427920521872122e-02  9.7017126384679209e-01  9.9357951582555126e-01  0.0000000000000000e+00
