#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0076579355957027e+00  5.3710599630288564e-03 -1.1607342687674431e-03  2.5675471404363703e+00
 1.0035003126759154e+00  6.2022657278865988e-02  8.8312249475935196e-03  2.5559167429078795e+00
 1.0035934106791102e+00  1.2914475042947601e-01  1.8108021148712055e-02  2.5572135174438797e+00
 1.0023479217581117e+00  1.7858496249726863e-01  2.4863705270612799e-02  2.5559343779489296e+00
 1.0019243022986857e+00  2.1246454039395604e-01  2.9344971801263210e-02  2.5567346346858577e+00
 1.0012830062053129e+00  2.3637055006984459e-01  3.2350417200474053e-02  2.5565930128914878e+00
 1.0006913988616464e+00  2.5548725422231044e-01  3.4606151073063529e-02  2.5563936192472361e+00
 1.0000499843478177e+00  2.7152456106078504e-01  3.6349200066460224e-02  2.5559281763424870e+00
 9.9936931493604719e-01  2.8546100077376513e-01  3.7711744746794319e-02  2.5552830586212449e+00
 9.9860998479047436e-01  2.9730142809940274e-01  3.8694922170992574e-02  2.5542639987343403e+00
 9.9777641741095657e-01  3.0757839654303903e-01  3.9369128266610730e-02  2.5529325243940830e+00
 9.9686644712942529e-01  3.1662532002555965e-01  3.9777491948431512e-02  2.5513005237788033e+00
 9.9587872680985812e-01  3.2479705251065494e-01  3.9964201461020664e-02  2.5494181768764941e+00
 9.9481585286558649e-01  3.3218298276108738e-01  3.9939178631565611e-02  2.5472647687259435e+00
 9.9367366116927547e-01  3.3899328012226188e-01  3.9725918472684571e-02  2.5448703484744484e+00
 9.9245556702724635e-01  3.4537478667339638e-01  3.9337913189101487e-02  2.5422434098133477e+00
 9.9115107366401056e-01  3.5138747687979377e-01  3.8775406814095921e-02  2.5393653804716312e+00
 9.8975206186252895e-01  3.5687150860791056e-01  3.8011784128001873e-02  2.5361384298114422e+00
 9.8824701554436867e-01  3.6197341983142894e-01  3.7049707261550026e-02  2.5325687086793631e+00
 9.8662867731710313e-01  3.6661087415758548e-01  3.5861653828367729e-02  2.5285826106065428e+00
 9.8488665514217877e-01  3.7125532897755581e-01  3.4466436305389335e-02  2.5243067996423667e+00
 9.8299700167720616e-01  3.7537644274832055e-01  3.2778707314200177e-02  2.5194993541491817e+00
 9.8096676952640738e-01  3.7970718813511528e-01  3.0821014437072219e-02  2.5144026470145606e+00
 9.7877205837156112e-01  3.8366141256118319e-01  2.8494283376573511e-02  2.5087613117199568e+00
 9.7644048452497600e-01  3.8804404127598674e-01  2.5805291519364372e-02  2.5028748107120431e+00
 9.7392354058336761e-01  3.9155838535377929e-01  2.2614227463005024e-02  2.4962287607469658e+00
 9.7126841826735300e-01  3.9564840235286142e-01  1.8963012309535600e-02  2.4894029653553402e+00
 9.6844814905268206e-01  3.9916665203620733e-01  1.4747043958017590e-02  2.4819652900574338e+00
 9.6553925948608588e-01  4.0448915586484296e-01  1.0008018760974673e-02  2.4749258045388447e+00
 9.6247819536383494e-01  4.0926372168218333e-01  4.6209235811741790e-03  2.4673680264971760e+00
 9.5936979818732460e-01  4.1597839570434958e-01 -1.4257384933604495e-03  2.4603973593234287e+00
 9.5616632595839302e-01  4.2294597231163894e-01 -8.2104475795571723e-03  2.4533589015570549e+00
 9.5293127545147815e-01  4.3100796433321792e-01 -1.5804830847796589e-02  2.4466530831949638e+00
 9.4952159618882048e-01  4.3766611646262549e-01 -2.4158765677205176e-02  2.4392175710374193e+00
 9.4607418097919982e-01  4.4536643919764496e-01 -3.3418538098526816e-02  2.4321465257572101e+00
 9.4254048699818782e-01  4.5314877425254307e-01 -4.3608648957931179e-02  2.4250351366143557e+00
 9.3909115025908452e-01  4.6310695043920486e-01 -5.5064576007480527e-02  2.4188823556879027e+00
 9.3555302313863575e-01  4.7350950291003968e-01 -6.7796604482008166e-02  2.4129151489583682e+00
 9.3200257533959641e-01  4.8422921097645966e-01 -8.1971407054091450e-02  2.4070617951474200e+00
 9.2837200915396390e-01  4.9497158107028016e-01 -9.7749469096857111e-02  2.4012245333006095e+00
 9.2450740199316273e-01  5.0356601026374326e-01 -1.1489257621345042e-01  2.3942384109119383e+00
 9.2060216397981587e-01  5.1263849132478445e-01 -1.3418317444880457e-01  2.3876848056646143e+00
 9.1639331652206502e-01  5.1914733998282314e-01 -1.5514712548802775e-01  2.3799281377724109e+00
 9.1202978591144768e-01  5.2400244352116310e-01 -1.7825690179429840e-01  2.3717459294435868e+00
 9.0745552431722287e-01  5.2580549982357438e-01 -2.0331692288641201e-01  2.3625999763242933e+00
 9.0293292850846441e-01  5.2548217589220536e-01 -2.3094518755125851e-01  2.3536562638864273e+00
 8.9853422763909674e-01  5.2169958202301603e-01 -2.6091535064408344e-01  2.3448008441224450e+00
 8.9451239475755073e-01  5.1382639480979564e-01 -2.9312984304813661e-01  2.3366625951502842e+00
 8.9114768149392121e-01  5.0077166798450334e-01 -3.2703273831356239e-01  2.3297634794312638e+00
 8.8893952948023769e-01  4.8219886523115457e-01 -3.6217253382849091e-01  2.3254333457760064e+00
 8.8827165700513744e-01  4.5713561771078631e-01 -3.9715785288974009e-01  2.3243999225514531e+00
 8.8960772593638660e-01  4.2551957819192177e-01 -4.3054468130925805e-01  2.3277795159184924e+00
 8.9319579957088091e-01  3.8765291088660919e-01 -4.6039574186257243e-01  2.3360876067708132e+00
 8.9907292224287172e-01  3.4481407733675834e-01 -4.8497393269466366e-01  2.3494559122876342e+00
 9.0690200211998118e-01  2.9879575388301893e-01 -5.0268722006118061e-01  2.3670638032948603e+00
 9.1613244645791181e-01  2.5194822801018879e-01 -5.1281366062942679e-01  2.3876690023022720e+00
 9.2607425524660569e-01  2.0660357416187550e-01 -5.1551122522049508e-01  2.4097135106300227e+00
 9.3609777363072233e-01  1.6470658111341641e-01 -5.1186085235949352e-01  2.4318341226636950e+00
 9.4569235889360392e-01  1.2747307299434768e-01 -5.0338311388223278e-01  2.4529212509684375e+00
 9.5452243230668898e-01  9.5399431571334486e-02 -4.9171697767747213e-01  2.4722653431099970e+00
 9.6240102525774551e-01  6.8407077939568101e-02 -4.7829350314212632e-01  2.4894701052270403e+00
 9.6929094329811205e-01  4.6066305094736013e-02 -4.6426019746672625e-01  2.5044801566958932e+00
 9.7524904633099130e-01  2.7773310591350894e-02 -4.5041627502934550e-01  2.5174392084514885e+00
 9.8015900158569358e-01  1.2885666849046256e-02 -4.3722452347579871e-01  2.5280350739975854e+00
 9.8447353106673063e-01 -5.2962879499629441e-06 -4.2461745261196698e-01  2.5373398118277040e+00
 9.8894390752825923e-01 -1.2130179857930759e-02 -4.1130586910320055e-01  2.5470838195255023e+00
 9.9372422953954187e-01 -2.4400582950144387e-02 -3.9560192435285041e-01  2.5574691716028122e+00
 9.9902456003286100e-01 -3.7365817714864483e-02 -3.7651566889602833e-01  2.5689546125457912e+00
 1.0048709745276918e+00 -5.0559002775579946e-02 -3.5346478341950660e-01  2.5816026087470050e+00
 1.0112542497210621e+00 -6.3235506705250508e-02 -3.2591273583478542e-01  2.5954320859717503e+00
 1.0180535329026401e+00 -7.4300943649944481e-02 -2.9339474935485010e-01  2.6101699028989542e+00
 1.0250348242270086e+00 -8.2286382745781830e-02 -2.5571343581047445e-01  2.6253130959631141e+00
 1.0318718501406752e+00 -8.5517868682979586e-02 -2.1337327465119926e-01  2.6401530905549380e+00
 1.0381182562808908e+00 -8.2293891857897428e-02 -1.6749568657153166e-01  2.6537695321045542e+00
 1.0433268085094405e+00 -7.1405673683031856e-02 -1.2012763741089609e-01  2.6651799452047356e+00
 1.0470921240696227e+00 -5.2394337529608023e-02 -7.3690077478938229e-02  2.6735553127855418e+00
 1.0492013106544820e+00 -2.5974071909114105e-02 -3.0845847885760200e-02  2.6784319193326760e+00
 1.0496087513868464e+00  6.5227703535877084e-03  6.6005592334413051e-03  2.6798606409628274e+00
 1.0485491156166107e+00  4.2785381023793798e-02  3.7172370064010210e-02  2.6782550247909929e+00
 1.0462901059991796e+00  8.0912024616857370e-02  6.0770984895808657e-02  2.6742869247967858e+00
 1.0432075632895492e+00  1.1877269576310691e-01  7.7566009603010744e-02  2.6686216656875699e+00
 1.0395370057153537e+00  1.5586667238197166e-01  8.8919404837594168e-02  2.6621017120508466e+00
 1.0356083800967533e+00  1.9073649448949948e-01  9.5392272069271131e-02  2.6551455136113753e+00
 1.0316097457928444e+00  2.2334654363088358e-01  9.8157994361988507e-02  2.6482592602284791e+00
 1.0277151399355855e+00  2.5279490000999955e-01  9.7750230160525642e-02  2.6414974104602877e+00
 1.0239953749419279e+00  2.7975445027158385e-01  9.5167763674223277e-02  2.6352160014951247e+00
 1.0205111279965304e+00  3.0368259008338949e-01  9.0755486354154244e-02  2.6292804201992244e+00
 1.0173027537341488e+00  3.2493791423860174e-01  8.5051789916383555e-02  2.6237899739928365e+00
 1.0143605760573016e+00  3.4356477762788568e-01  7.8387116015528141e-02  2.6186909816232258e+00
 1.0117083267311300e+00  3.5944587717444232e-01  7.0986043922952310e-02  2.6138688148467559e+00
 1.0093075726761744e+00  3.7293159488776589e-01  6.3131125091992341e-02  2.6093501131509296e+00
 1.0071674245959528e+00  3.8412278336466105e-01  5.4998562227246882e-02  2.6050993862847611e+00
 1.0052681847018805e+00  3.9357754162729769e-01  4.6797591424353455e-02  2.6012641520082038e+00
 1.0036120470446745e+00  4.0020368346055296e-01  3.8514646290208100e-02  2.5973447900881035e+00
 1.0021764676107874e+00  4.0504183161142759e-01  3.0393218438968157e-02  2.5936899939789724e+00
 1.0009602177754331e+00  4.0821729400584639e-01  2.2533573102595548e-02  2.5902987073601036e+00
 9.9995981533079736e-01  4.1056239619640794e-01  1.5055260978849124e-02  2.5874712570997160e+00
 9.9915130920433926e-01  4.1086268625608291e-01  7.9769353082473279e-03  2.5846466828135770e+00
 9.9852650061681036e-01  4.1017265745013903e-01  1.4064198790905860e-03  2.5821918716278489e+00
 9.9807502983682039e-01  4.0864175375680611e-01 -4.6134225096858671e-03  2.5801015241733505e+00
 9.9778777577904021e-01  4.0653415761713219e-01 -1.0058343125179444e-02  2.5784107168153954e+00
 9.9763491560421214e-01  4.0314760310615377e-01 -1.4893657013403491e-02  2.5767408322456684e+00
 9.9760233152828859e-01  3.9935871846885895e-01 -1.9140643426332680e-02  2.5753660646174299e+00
 9.9767161016630190e-01  3.9567235337981504e-01 -2.2851768059350984e-02  2.5744071079061235e+00
 9.9782284073556804e-01  3.9211954790021214e-01 -2.6076337871430856e-02  2.5738055765472443e+00
 9.9803066277772912e-01  3.8823474464069280e-01 -2.8833765967926056e-02  2.5733038882459023e+00
 9.9827626713675011e-01  3.8423892203834903e-01 -3.1188799164155616e-02  2.5729410225256144e+00
 9.9854933472524365e-01  3.8034128422625402e-01 -3.3212221439533056e-02  2.5727600623010316e+00
 9.9884277360796814e-01  3.7637171507082290e-01 -3.4941442214515527e-02  2.5726743817406694e+00
 9.9915093087668350e-01  3.7212725287757720e-01 -3.6401250289281657e-02  2.5725885046446040e+00
 9.9946632132832802e-01  3.6770372595171824e-01 -3.7636262940320186e-02  2.5725360642804582e+00
 9.9978996649548268e-01  3.6325272934664421e-01 -3.8691512292156061e-02  2.5725752123932097e+00
 1.0001149450909013e+00  3.5864326771433003e-01 -3.9576131164631823e-02  2.5726650871965151e+00
 1.0004448908893064e+00  3.5374416488676852e-01 -4.0291144277846962e-02  2.5727615921362297e+00
