#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0070361541862809e+00  6.8965085806798202e-03  4.1995386886902764e-05  1.0272355042983961e+00  1.0200582174017745e+00  0.0000000000000000e+00
 1.0022069602871795e+00  8.0070860249979850e-02  1.1341973588792824e-02  1.0214255303025017e+00  1.0191762487957730e+00  0.0000000000000000e+00
 1.0028671624366363e+00  1.5623392746124595e-01  2.1905246243193916e-02  1.0195081974866871e+00  1.0165934589079761e+00  0.0000000000000000e+00
 1.0022151143641143e+00  2.0889646286122865e-01  2.9083645580763446e-02  1.0160696673439740e+00  1.0138239313908675e+00  0.0000000000000000e+00
 1.0023602317967082e+00  2.4287064992909602e-01  3.3544845879206510e-02  1.0139988448023489e+00  1.0116112078636430e+00  0.0000000000000000e+00
 1.0021687141476749e+00  2.6666201943260909e-01  3.6496272703511863e-02  1.0120571693665914e+00  1.0098670563941190e+00  0.0000000000000000e+00
 1.0019710446683072e+00  2.8526055154052166e-01  3.8639036457148959e-02  1.0103779442519643e+00  1.0083903618057550e+00  0.0000000000000000e+00
 1.0016869004435434e+00  3.0065119207685381e-01  4.0248390036601946e-02  1.0087933108283662e+00  1.0070944427661741e+00  0.0000000000000000e+00
 1.0013404292084516e+00  3.1362828872724968e-01  4.1432979894869784e-02  1.0072971715702324e+00  1.0059487684587844e+00  0.0000000000000000e+00
 1.0009088691205927e+00  3.2471032960933627e-01  4.2262347380865657e-02  1.0058493559576696e+00  1.0049360006584993e+00  0.0000000000000000e+00
 1.0004077704125869e+00  3.3431354779939154e-01  4.2791198850208448e-02  1.0044411679685799e+00  1.0040317535261942e+00  0.0000000000000000e+00
 9.9984317872961614e-01  3.4279107623177818e-01  4.3064697278649436e-02  1.0030579745158950e+00  1.0032153000137118e+00  0.0000000000000000e+00
 9.9922639518608591e-01  3.5037945341492155e-01  4.3111982858392704e-02  1.0016923715094672e+00  1.0024678854914781e+00  0.0000000000000000e+00
 9.9856160916282555e-01  3.5728509949904896e-01  4.2957267999958429e-02  1.0003364502079073e+00  1.0017773976375577e+00  0.0000000000000000e+00
 9.9785556815517540e-01  3.6363169867598510e-01  4.2613237599237269e-02  9.9898449068185591e-01  1.0011313486267035e+00  0.0000000000000000e+00
 9.9710933338682795e-01  3.6955794892333133e-01  4.2092318489490133e-02  9.9762934310613394e-01  1.0005215172518143e+00  0.0000000000000000e+00
 9.9632655285478278e-01  3.7513270869453480e-01  4.1395739797303613e-02  9.9626518605548853e-01  9.9993840694186242e-01  0.0000000000000000e+00
 9.9550402501861845e-01  3.8046947289540284e-01  4.0525324645290614e-02  9.9488427138390323e-01  9.9937744738430023e-01  0.0000000000000000e+00
 9.9464230221854710e-01  3.8560668500670336e-01  3.9468713193688630e-02  9.9347941842062082e-01  9.9883085226183099e-01  0.0000000000000000e+00
 9.9373682406830133e-01  3.9064197299177289e-01  3.8212353209071147e-02  9.9204231363768158e-01  9.9829480966229833e-01  0.0000000000000000e+00
 9.9278805592666897e-01  3.9556966321056530e-01  3.6723749695652445e-02  9.9056692921690326e-01  9.9776273828386031e-01  0.0000000000000000e+00
 9.9179146851170985e-01  4.0048613963177865e-01  3.4971320638917121e-02  9.8904649849118131e-01  9.9723231131979040e-01  0.0000000000000000e+00
 9.9075061797090624e-01  4.0533912880410261e-01  3.2901537410302037e-02  9.8748014031530273e-01  9.9669899004221529e-01  0.0000000000000000e+00
 9.8966554191301137e-01  4.1021818625657452e-01  3.0466507091923049e-02  9.8586829957443656e-01  9.9616310543536302e-01  0.0000000000000000e+00
 9.8854603717242751e-01  4.1502735112449063e-01  2.7599811821689125e-02  9.8421982733770041e-01  9.9562366377280598e-01  0.0000000000000000e+00
 9.8739824035632606e-01  4.1986488783686826e-01  2.4249006629509910e-02  9.8254507690722925e-01  9.9508489761198560e-01  0.0000000000000000e+00
 9.8623925600399476e-01  4.2456817250192885e-01  2.0348987021675636e-02  9.8086402053865751e-01  9.9454976524954386e-01  0.0000000000000000e+00
 9.8508312519702912e-01  4.2920242869184277e-01  1.5856328930775997e-02  9.7919805983010333e-01  9.9402581851582483e-01  0.0000000000000000e+00
 9.8395383329586450e-01  4.3352410961334992e-01  1.0726320689476378e-02  9.7757637189222546e-01  9.9351853594362571e-01  0.0000000000000000e+00
 9.8286943951401162e-01  4.3762734267344089e-01  4.9406730602464732e-03  9.7602637675958048e-01  9.9303766860650933e-01  0.0000000000000000e+00
