#               DENSITY,             MOMENTUM-X,             MOMENTUM-Y,                 ENERGY
 1.0070361541862809e+00  6.9450334784004926e-03  4.2290872904151532e-05  2.5681127098754897e+00
 1.0022069602871795e+00  8.0247573458711849e-02  1.1367004874081528e-02  2.5568410340106937e+00
 1.0028671624366363e+00  1.5668187550939100e-01  2.1968052142387669e-02  2.5612506138989621e+00
 1.0022151143641143e+00  2.0935919241672521e-01  2.9148069181850204e-02  2.5624652317983285e+00
 1.0023602317967082e+00  2.4344388095954586e-01  3.3624019491066290e-02  2.5651237550766597e+00
 1.0021687141476749e+00  2.6724033312680018e-01  3.6575422686461370e-02  2.5664417801695025e+00
 1.0019710446683072e+00  2.8582281282971400e-01  3.8715195723946348e-02  2.5674598061747567e+00
 1.0016869004435434e+00  3.0115836070612012e-01  4.0316285063606593e-02  2.5680664199290528e+00
 1.0013404292084516e+00  3.1404868524605639e-01  4.1488517871314051e-02  2.5683497012543781e+00
 1.0009088691205927e+00  3.2500544880105570e-01  4.2300758323363892e-02  2.5682835677680531e+00
 1.0004077704125869e+00  3.3444987097271106e-01  4.2808647835018684e-02  2.5679243980654265e+00
 9.9984317872961614e-01  3.4273731929972728e-01  4.3057943818113502e-02  2.5673157222214962e+00
 9.9922639518608591e-01  3.5010839818306316e-01  4.3078631220916069e-02  2.5664949259747258e+00
 9.9856160916282555e-01  3.5677118388567058e-01  4.2895478659277245e-02  2.5654969757726378e+00
 9.9785556815517540e-01  3.6285191528155664e-01  4.2521856415518387e-02  2.5643394528507715e+00
 9.9710933338682795e-01  3.6848968009874633e-01  4.1970643629761557e-02  2.5630458238031251e+00
 9.9632655285478278e-01  3.7375467851670324e-01  4.1243674735121055e-02  2.5616204238221449e+00
 9.9550402501861845e-01  3.7875889166408566e-01  4.0343123799573020e-02  2.5600812354872908e+00
 9.9464230221854710e-01  3.8354072092592956e-01  3.9257251756574005e-02  2.5584211956373935e+00
 9.9373682406830133e-01  3.8819531358861953e-01  3.7973022518158525e-02  2.5566539949718536e+00
 9.9278805592666897e-01  3.9271683692238429e-01  3.6458900066684390e-02  2.5547602102616254e+00
 9.9179146851170985e-01  3.9719873654398741e-01  3.4684257452265478e-02  2.5527590177047577e+00
 9.9075061797090624e-01  4.0158999235045345e-01  3.2597218521449631e-02  2.5506266689084742e+00
 9.8966554191301137e-01  4.0597880360418548e-01  3.0151652251324629e-02  2.5484000009362275e+00
 9.8854603717242751e-01  4.1027364327228483e-01  2.7283684603035502e-02  2.5460634723264199e+00
 9.8739824035632606e-01  4.1457385143752995e-01  2.3943426476366970e-02  2.5436854962387114e+00
 9.8623925600399476e-01  4.1872579857127801e-01  2.0068969820692326e-02  2.5412530664892632e+00
 9.8508312519702912e-01  4.2280006979791551e-01  1.5619802057280887e-02  2.5388523943390586e+00
 9.8395383329586450e-01  4.2656770948023220e-01  1.0554204359571022e-02  2.5364612268419675e+00
 9.8286943951401162e-01  4.3013054100945114e-01  4.8560365615464276e-03  2.5341963807757888e+00
 9.8185636239626572e-01  4.3319743113908571e-01 -1.4851597211598766e-03  2.5320184500060949e+00
 9.8093157279465681e-01  4.3587465465192915e-01 -8.4623558144866027e-03  2.5300461122655995e+00
 9.8011848576196181e-01  4.3792787868804089e-01 -1.6058356359298413e-02  2.5282515999645927e+00
 9.7943270675438954e-01  4.3961099998333975e-01 -2.4266637660334666e-02  2.5268082220111721e+00
 9.7889046756371600e-01  4.4064023091486348e-01 -3.3064166978033119e-02  2.5256467718910542e+00
 9.7849918242268108e-01  4.4109937313579362e-01 -4.2450271370159949e-02  2.5248518298732860e+00
 9.7827177164881929e-01  4.4066095822890550e-01 -5.2395429721560804e-02  2.5243301563167448e+00
 9.7821649955211143e-01  4.3956672383247863e-01 -6.2937469731325385e-02  2.5242364537223665e+00
 9.7834459018513797e-01  4.3741973168247061e-01 -7.4047581466640033e-02  2.5244587283646474e+00
 9.7867237361022086e-01  4.3433870875852132e-01 -8.5776521161924010e-02  2.5251324346835595e+00
 9.7921675638428995e-01  4.3000555173240756e-01 -9.8108485629583339e-02  2.5262217246633991e+00
 9.8001304004896628e-01  4.2454151079447927e-01 -1.1112389186597679e-01  2.5279143772272574e+00
 9.8109252273537439e-01  4.1747203037660147e-01 -1.2476118241905032e-01  2.5301802825436535e+00
 9.8250348517672448e-01  4.0868384232094973e-01 -1.3902786794484379e-01  2.5331887080601918e+00
 9.8430114374170907e-01  3.9769075540400356e-01 -1.5377722903387112e-01  2.5369956148176920e+00
 9.8655529478286019e-01  3.8427886024210461e-01 -1.6888751291299386e-01  2.5418113784226528e+00
