#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0152448898058184e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0159952017116773e+00  1.0007390452425746e+00  2.9597207324356987e-08
 1.0093818008518969e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0090894677825346e+00  9.9971038404980628e-01  2.9573810412374774e-08
 1.0103610044504501e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0100493270623512e+00  9.9969151878712081e-01  2.9573381212345355e-08
 1.0113711484540249e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0110263153216286e+00  9.9965904392969551e-01  2.9572642373762789e-08
 1.0124854589886678e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0120652871944740e+00  9.9958500955202523e-01  2.9570957966897437e-08
 1.0136466134562432e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0130580337033679e+00  9.9941934423194267e-01  2.9567188581726042e-08
 1.0153985057193191e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0145328599288101e+00  9.9914748171714562e-01  2.9561002231475784e-08
 1.0156795081761525e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0148036129793210e+00  9.9913762639712578e-01  2.9560777953981508e-08
 1.0033007515830068e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0030623034237549e+00  9.9976233630955080e-01  2.9574992348054076e-08
 1.0016177573058564e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0013870513630572e+00  9.9976966668061107e-01  2.9575159114661109e-08
 9.9985851391749192e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9963465929548045e-01  9.9977611370119335e-01  2.9575305784472758e-08
 9.9802715415064391e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9780945518406938e-01  9.9978187069793756e-01  2.9575436755843056e-08
 9.9612648920292601e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9591454380653144e-01  9.9978723043841156e-01  2.9575558689324380e-08
 9.9415510132286267e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9394889871895176e-01  9.9979258507687940e-01  2.9575680506417994e-08
 9.9210992103004114e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9190977896267307e-01  9.9979826623731360e-01  2.9575809751482375e-08
 9.8998370943700531e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8978978534410533e-01  9.9980411385455015e-01  2.9575942783026609e-08
 9.8776647076290514e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8757864586114430e-01  9.9980984887894042e-01  2.9576073252749446e-08
 9.8544511465238915e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8526315312702484e-01  9.9981535092857177e-01  2.9576198422038758e-08
 9.8300537704844781e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8282910758303743e-01  9.9982068311168404e-01  2.9576319726617144e-08
 9.8043068447441850e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8025995706746405e-01  9.9982586488809688e-01  2.9576437609214451e-08
 9.7770884044626261e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7754365286234057e-01  9.9983104624087638e-01  2.9576555481877025e-08
 9.7482735729078374e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7466769777427975e-01  9.9983621764888964e-01  2.9576673128005719e-08
 9.7178137084289606e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7162740348207510e-01  9.9984156172834715e-01  2.9576794701984979e-08
 9.6856639590638682e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6841826569741252e-01  9.9984706241141530e-01  2.9576919838253909e-08
 9.6518712299680809e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6504516888660508e-01  9.9985292581425855e-01  2.9577053225747176e-08
 9.6164871448751599e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.6151326029840878e-01  9.9985914379433327e-01  2.9577194679158951e-08
 9.5796393142598724e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.5783550133974082e-01  9.9986593431961990e-01  2.9577349156966338e-08
 9.5414395506892435e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.5402319457419471e-01  9.9987343577026522e-01  2.9577519807036608e-08
 9.5020516511660014e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.5009346487118584e-01  9.9988244618160915e-01  2.9577724783543510e-08
