#               DENSITY,             VELOCITY-X,             VELOCITY-Y,               PRESSURE,            TEMPERATURE,              VISCOSITY
 1.0164000442646250e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0170367255487505e+00  1.0006264081625322e+00  2.9594645963445166e-08
 1.0084396280202192e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0081550459707800e+00  9.9971779961682228e-01  2.9573979121460618e-08
 1.0097276315110344e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0094227564135716e+00  9.9969806204371525e-01  2.9573530077187171e-08
 1.0110076825008851e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0106669573685187e+00  9.9966298462587022e-01  2.9572732029540486e-08
 1.0123238433190989e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0119070327979431e+00  9.9958826365307263e-01  2.9571032004456129e-08
 1.0136605482033192e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0130799911422557e+00  9.9942726678857896e-01  2.9567368850682045e-08
 1.0154228047554279e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0145793642579874e+00  9.9916937014464291e-01  2.9561500342518164e-08
 1.0160095907374993e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0151389062517744e+00  9.9914303517047232e-01  2.9560901041556979e-08
 1.0045178931162879e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0042712773678288e+00  9.9975449342401090e-01  2.9574813921037165e-08
 1.0031908023966896e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0029535221581563e+00  9.9976347446770242e-01  2.9575018241294363e-08
 1.0018570171386965e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0016281079460496e+00  9.9977151510771434e-01  2.9575201166451556e-08
 1.0005174810330286e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0002961720781756e+00  9.9977880550910092e-01  2.9575367023005428e-08
 9.9917244381921488e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9895810391354511e-01  9.9978548256910460e-01  2.9575518925532994e-08
 9.9781932266616646e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9761139121873443e-01  9.9979161413022533e-01  2.9575658417574094e-08
 9.9645494573659132e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9625297022335879e-01  9.9979730592527394e-01  2.9575787904634329e-08
 9.9507368969590082e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9487726761044004e-01  9.9980260548792066e-01  2.9575908468172898e-08
 9.9366924526612344e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9347804460044398e-01  9.9980758117795221e-01  2.9576021663418773e-08
 9.9223443981943904e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9204819417662682e-01  9.9981229673619687e-01  2.9576128940502455e-08
 9.9076314448596181e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.9058170171878090e-01  9.9981686564726346e-01  2.9576232881185998e-08
 9.8924946939162661e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8907270832794769e-01  9.9982131801011997e-01  2.9576334170227500e-08
 9.8769239825352095e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8752031988690037e-01  9.9982577737064227e-01  2.9576435618242383e-08
 9.8609253537308439e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8592512145277167e-01  9.9983022493903262e-01  2.9576536797773384e-08
 9.8445794866572867e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8429530927247044e-01  9.9983479295029465e-01  2.9576640717079917e-08
 9.8279889657397079e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8264122692453726e-01  9.9983957079115271e-01  2.9576749409627036e-08
 9.8113435531361448e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.8098216027931584e-01  9.9984487849857240e-01  2.9576870155972484e-08
 9.7948569292304044e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7933948280433636e-01  9.9985072766273131e-01  2.9577003219689551e-08
 9.7788135524594888e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7774160306885372e-01  9.9985708677607443e-01  2.9577147883905084e-08
 9.7634903999041556e-01  0.0000000000000000e+00  0.0000000000000000e+00  9.7621621695598970e-01  9.9986395947659568e-01  2.9577304231272098e-08
