#              NORMAL-X,               NORMAL-Y,                   AREA
 5.9678865326316319e-04 -1.4854784069484595e-13  5.9678865326316319e-04
 1.3732499341933321e-03  1.0258062717664052e-02  1.0349573232809708e-02
 1.2195524175531245e-03  9.0036515820814955e-03  9.0858708944535575e-03
 1.0787676300184493e-03  7.8821471298204937e-03  7.9556258695160538e-03
 9.5088984153367858e-04  6.8846746041200113e-03  6.9500313593067317e-03
 8.3557829191382342e-04  6.0015067594139104e-03  6.0593955527930739e-03
 7.3225235415334627e-04  5.2225888159554978e-03  5.2736730511766241e-03
 6.4011804619133652e-04  4.5379281002980720e-03  4.5828531022207861e-03
 1.9045041142249988e-03 -1.4879261397873544e-02  1.5000651841415084e-02
 2.0992388687760214e-03 -1.6709741227642017e-02  1.6841088317651545e-02
 2.2978755885763782e-03 -1.8675267992338429e-02  1.8816106579370651e-02
 2.4960301189912992e-03 -2.0760017516794016e-02  2.0909531167687765e-02
 2.6882901802914826e-03 -2.2939977439714543e-02  2.3096958003773222e-02
 2.8682222363412731e-03 -2.5182109897767480e-02  2.5344927652299214e-02
 3.0284377176584207e-03 -2.7444015074555517e-02  2.7610603007217474e-02
 3.1607314180644164e-03 -2.9674309345999905e-02  2.9842165776954539e-02
 3.2563094238981377e-03 -3.1813903916117048e-02  3.1980119346995808e-02
 3.3061302514789115e-03 -3.3798294346725544e-02  3.3959611275567396e-02
 3.3013861459852065e-03 -3.5560846022497428e-02  3.5713763737817858e-02
 3.2341441234472815e-03 -3.7036897069401054e-02  3.7177835234728729e-02
 3.0981397487191142e-03 -3.8168326126968521e-02  3.8293858374904205e-02
 2.8896679893064131e-03 -3.8908087792865365e-02  3.9015246722092389e-02
 2.6084530373355480e-03 -3.9224146048592590e-02  3.9310783005293941e-02
 2.2583258868022343e-03 -3.9102266246777484e-02  3.9167426025268431e-02
 1.8475203603125212e-03 -3.8547265140190523e-02  3.8591514368704387e-02
 1.3884405936688063e-03 -3.7582541604363529e-02  3.7608179970930036e-02
 8.9685309764755278e-04 -3.6247969434275995e-02  3.6259062778662199e-02
 3.9058468581450873e-04 -3.4596469943053987e-02  3.4598674669955649e-02
-1.1207155811725211e-04 -3.2689747121055990e-02  3.2689939230177947e-02
-5.9396444252293040e-04 -3.0593734766245995e-02  3.0599500007457481e-02
-1.0404564184170184e-03 -2.8374272958294977e-02  2.8393342801974811e-02
-1.4403627351732562e-03 -2.6093422104172009e-02  2.6133146039376283e-02
-1.7863725962612848e-03 -2.3806670777381994e-02  2.3873598399808252e-02
-2.0749857551677214e-03 -2.1561133369765506e-02  2.1660748788372128e-02
-2.3060684821477467e-03 -1.9394696460093494e-02  1.9531313387059209e-02
